Bagana	-6.140	155.195	1750	1594.5	1025.7	969.8	939.8	928.1	938.6	795.9	1265.1	948	746.7	893.9	688	743.2	488.3	204.7	176.9	677.4	498.2	249.4	521.8	712.7
Slamet	-7.242	109.208	3329	20.4	109.2	111.8	29.1	55.8	160.3	69.1	21	30.5	79.1	101.5	6.4	28.5	51.2	42.7	53.4	13.3	32.8	39.7	29	47.8
Merapi	-7.556	110.440	2968	0.6	68	4.1	0	0	67.1	2.4	10.9	5.6	0.5	0	9.9	12.8	0.8	2.7	7.1	35.6	8.7	13.6	21.5	18.9
Arjuno-Welirang	-7.733	112.575	3339	78.5	118.2	124.8	187.3	121.4	167.2	155.8	51	35	121.5	196.4	225.4	78.1	95.4	62.4	93.8	117.3	139.3	137.7	97.1	146
Tengger_Caldera	-7.942	112.950	2258	220.7	260.1	329.6	423.5	293.1	436.8	390.4	108.8	104.8	269.9	357	688.6	226.7	233.1	115.2	183	344.5	451.6	391.1	306.8	370.1
Ijen	-8.058	114.242	2799	459.8	276.9	295.6	264	136.5	193.4	146	136.1	180	148.4	314.5	153.1	117.2	76.4	62.5	94.3	245.6	264.8	140.1	93.1	207.7
Sangeang_Api	-8.209	119.066	1949	0.5	0	0	0	0	0	1.8	0	5.9	137.1	60.7	1.7	30	20.5	20.4	8.1	0	0	0.3	4.4	3.7
Lewotolo	-8.272	123.505	1339	244.1	214.2	279.1	294.2	216	203	194.5	361.8	159.1	173.6	153.9	209.2	125	62.2	55.9	67.9	104.6	100.6	120	256.4	203
Paluweh	-8.320	121.708	875	13.4	0	0	0	9.6	31.7	0	14.8	45.5	20.6	8.9	12.3	12.7	5.6	5.5	2.9	10.3	9.8	24.5	23.5	66.8
Agung	-8.343	115.508	2800	0	0	0	0	4.1	15.7	0	0	0	0	59.2	0	29.5	91.1	5.8	4.1	8.1	0.5	0	0	0
Rinjani	-8.420	116.470	3726	0	0	0	0	99.5	24	0	0	0	0	103.6	3.1	0	13.4	0	4.2	0.3	0	0.5	0	0
Sirung	-8.509	124.127	862	115	99	183.6	143.1	98.1	120	90.9	274.8	43.9	107.8	143.1	106.3	138.7	157.6	197.7	126.9	117.5	124.5	88.6	217.9	181.1
Ebulobo	-8.820	121.180	2124	1.4	15.4	0	21.2	38.3	69.1	13.9	12.4	19.1	8.9	20.1	19.9	13.6	21.8	18	12.7	3.6	11.9	11.1	28.4	0
Tinakula	-10.380	165.800	851	0	332.6	114.4	49.9	76.6	194.3	111	56.3	4.4	12.1	1	0	33.7	47.2	58.1	64.9	52.2	61.5	214.2	118.1	33.7
Gaua	-14.270	167.500	797	57.5	26.2	31.5	51.3	139.8	419.2	260.6	401.1	201.5	73.9	27.2	134	41.3	53.6	64.4	160.9	170.2	178.4	150.2	148.2	171.9
Aoba	-15.400	167.830	1395	593.1	1061	574.7	480.5	941.4	1564.4	1649.8	1773.5	1566.6	1136.7	1188.6	1234.1	1744.3	1246.7	33.4	54.6	152.9	328	525.1	593.9	692.3
Sabancaya	-15.795	-71.860	5967	0	0	0	2.2	0	4.8	3.5	11.7	31.8	90.8	175.6	155.8	338.2	307.3	264	208.9	177.3	211.9	161.4	105.1	10.1
Ambrym	-16.250	168.120	1334	1728.7	945.4	2154.5	2119.4	2572.9	2994.8	3949.4	2900.7	2606.8	2079.6	2471.2	2694.9	2825.4	2544.8	62.9	0	3.4	12.8	18.6	37.4	31.5
Ubinas	-16.340	-70.900	5400	0	244.9	126.7	53.7	38.4	9.3	9	2.3	7.8	208.2	133.1	64.6	12.6	11.9	44.7	26.6	7.9	3	44.7	55.1	0.7
Isluga	-19.150	-68.830	5550	16.7	0	0	2	5	0	0	38.5	78.6	65	42	49.5	7.2	11	0.4	0.3	0.3	0.3	10.9	55.4	35
Yasur	-19.530	169.442	280	241.7	309.9	278.8	513.9	324.1	632.3	552.7	553.3	722.3	581	707.5	1044.6	794.8	621.8	767.9	1276.3	1249.5	976	1013.6	592.1	816.1
Tofua	-19.750	-175.070	515	65.9	75.8	124.7	144.6	102.4	125.6	109.1	84.7	68	57.8	61.9	49.3	80.5	26.3	32.5	45	202.7	91.2	72.8	132.6	96.5
Reunuin	-21.231	55.713	2460	60.4	143.2	33.5	30.1	7.7	37.6	11.3	4.9	4.4	1.1	203.5	24	77.4	120.6	100.7	49.4	40.1	54.9	37.5	0.9	0.3
Lascar	-23.368	-67.680	5900	17.5	65.8	15.7	28.5	38.8	8.3	39.5	9.9	50.9	24.7	9.7	29.9	0	16.7	34.6	8.9	8.5	50.6	5.8	3.7	52.9
Lastarria	-25.170	-68.500	5697	90	81.4	65.3	72.5	86.5	52	53.2	79.3	67.4	68.3	81.2	46.2	34.6	52.5	57.6	59.7	59.6	70.1	54.9	50.1	44.4
Peteroa	-35.271	-70.574	4084	0	0	0	0	0	41.2	29.7	0.7	1	0	1.5	0	0	55.6	73	7.1	2.2	0	0	0.1	9.5
White_Island	-37.520	177.181	321	35.7	81.3	54.6	24.9	58.6	61.9	68.2	103.4	96	70.5	71.9	134.7	50.3	105.1	189.9	136.5	90.1	93	48.4	98.3	148.8
Copahue	-37.856	-71.160	2800	21.5	18.5	37.7	28.9	31.6	9.2	72.5	241	451.2	251.1	231.9	351.5	164.7	175.7	95.4	93.5	76.5	27.5	19.1	28.9	9.8
Villarrica	-39.420	-71.930	2847	113.3	105	95	50.1	32.5	155.8	131.2	59.2	0	17.2	100.3	105.9	84.4	63.8	42	30.2	49.7	71.4	135.9	85.8	4.4
Michael	-57.800	-26.488	990	166.7	134.1	114	86.5	73.5	49.6	74.1	7.6	81.3	64.6	60.8	12.5	79.9	72.5	60.7	61.3	42.2	53.8	33.2	43.3	64.5
Montagu	-58.420	-26.330	1370	199.5	161.1	34.3	21.5	10.1	16.5	0	0	22.6	15.7	27.9	2.3	11.7	22.4	2	14.3	11.1	12.6	7.8	12.2	3.4
Erebus	-77.528	167.167	3794	16.4	14.7	15.2	20.3	17.2	8.8	2.2	8.3	4.2	3.8	2.7	12.1	8	18.4	25.5	23.4	23.2	22.2	24.8	21.7	27.5
